taxis,Iarray,Varray
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.005,0,0
0.006,0,0
0.007,0,0
0.008,0,0
0.009,0,0
0.01,0,0
0.011,0,0
0.012,0,0
0.013,0,0
0.014,0,0
0.015,0,0
0.016,0,0
0.017,0,0
0.018,0,0
0.019,0,0
0.02,0,0
0.021,0,0
0.022,0,0
0.023,0,0
0.024,0,0
0.025,0,0
0.026,0,0
0.027,0,0
0.028,0,0
0.029,0,0
0.03,0,0
0.031,-0.000898182560143027,-0.898182560143027
0.032,-0.00179636512028605,-0.898182560143027
0.033,-0.00269454768042908,-0.898182560143027
0.034,-0.00359273024057211,-0.898182560143027
0.035,-0.00449091280071512,-0.898182560143014
0.036,-0.00538909536085815,-0.898182560143027
0.037,-0.00628727792100118,-0.898182560143032
0.038,-0.00718546048114421,-0.898182560143028
0.039,-0.00808364304128724,-0.898182560143027
0.04,-0.00898182560143026,-0.898182560143026
0.041,-0.00988000816157329,-0.898182560143027
0.042,-0.0107781907217163,-0.898182560143026
0.043,-0.0116763732818593,-0.898182560143026
0.044,-0.0121380368139672,-0.461663532107908
0.045,-0.0125936375817969,-0.455600767829637
0.046,-0.0130492383496265,-0.455600767829638
0.047,-0.0135048391174562,-0.455600767829637
0.048,-0.0139604398852858,-0.455600767829638
0.049,-0.0144160406531154,-0.455600767829637
0.05,-0.0148716414209451,-0.455600767829631
0.051,-0.0153272421887747,-0.455600767829635
0.052,-0.0157828429566043,-0.455600767829637
0.053,-0.016238443724434,-0.455600767829643
0.054,-0.0166940444922636,-0.455600767829637
0.055,-0.0171496452600933,-0.455600767829637
0.056,-0.0176052460279229,-0.455600767829637
0.057,-0.0174141317479737,0.191114279949216
0.058,-0.0172048001427349,0.209331605238769
0.059,-0.0169954685374961,0.209331605238765
0.06,-0.0167861369322574,0.20933160523877
0.061,-0.0165768053270186,0.209331605238765
0.062,-0.0163674737217798,0.209331605238772
0.063,-0.0161581421165411,0.209331605238762
0.064,-0.0159488105113023,0.209331605238769
0.065,-0.0157394789060635,0.209331605238769
0.066,-0.0155301473008248,0.209331605238767
0.067,-0.015320815695586,0.209331605238767
0.068,-0.0151114840903472,0.209331605238769
0.069,-0.0149021524851085,0.209331605238765
0.07,-0.0151738826633275,-0.271730178219069
0.071,-0.0154662297751234,-0.292347111795831
0.072,-0.0157585768869192,-0.292347111795831
0.073,-0.016050923998715,-0.292347111795835
0.074,-0.0163432711105109,-0.292347111795831
0.075,-0.0166356182223067,-0.292347111795828
0.076,-0.0169279653341025,-0.292347111795828
0.077,-0.0172203124458984,-0.292347111795835
0.078,-0.0175126595576942,-0.292347111795831
0.079,-0.01780500666949,-0.292347111795831
