taxis,Iarray,Varray
0,-0,0
0.001,-0,0
0.002,-0,0
0.003,-0,0
0.004,-0,0
0.005,-0,0
0.006,-0,0
0.007,-0,0
0.008,-0,0
0.009,-0,0
0.01,-0,0
0.011,-0,0
0.012,-0,0
0.013,-0,0
0.014,-0,0
0.015,-0,0
0.016,-0,0
0.017,-0,0
0.018,-0,0
0.019,-0,0
0.02,-0,0
0.021,-0,0
0.022,-0,0
0.023,-0,0
0.024,-0,0
0.025,-0,0
0.026,-0,0
0.027,-0,0
0.028,-0,0
0.029,-0,0
0.03,-0,0
0.031,-0,0
0.032,-0,0
0.033,-0,0
0.034,-0,0
0.035,-0,0
0.036,-0,0
0.037,-0,0
0.038,-0,0
0.039,-0,0
0.04,-0,0
0.041,-0,0
0.042,-0,0
0.043,-0,0
0.044,-0,0
0.045,-0,0
0.046,-0,0
0.047,-0,0
0.048,-0,0
0.049,-0,0
0.05,-0,0
0.051,-0,0
0.052,-0,0
0.053,-0,0
0.054,-0,0
0.055,-0,0
0.056,-0,0
0.057,-0,0
0.058,-0,0
0.059,-0,0
0.06,-0,0
0.061,-0,0
0.062,-0,0
0.063,-0,0
0.064,-0,0
0.065,-0,0
0.066,-0,0
0.067,-0,0
0.068,-0,0
0.069,-0,0
0.07,-0,0
0.071,-0,0
0.072,-0,0
0.073,-0,0
0.074,-0,0
0.075,-0,0
0.076,-0,0
0.077,-0,0
0.078,-0,0
0.079,-0,0
0.08,-0,0
0.081,-0,0
0.082,-0,0
0.083,-0,0
0.084,-0,0
0.085,-0,0
0.086,-0,0
0.087,-0,0
0.088,-0,0
0.089,0,0
0.09,0.00196882853255783,1.96882853255783
0.091,0.00393765706511566,1.96882853255783
0.092,0.0059064855976735,1.96882853255783
0.093,0.00787531413023133,1.96882853255783
0.094,0.00984414266278913,1.9688285325578
0.095,0.011812971195347,1.96882853255783
0.096,0.0137817997279048,1.96882853255783
0.097,0.0157506282604626,1.96882853255783
0.098,0.0177194567930205,1.96882853255783
0.099,0.0196882853255783,1.96882853255783
0.1,0.0216571138581361,1.96882853255783
0.101,0.0240999074580156,2.44279359987942
0.102,0.0266019466913102,2.50203923329462
0.103,0.0291039859246048,2.50203923329463
0.104,0.0316060251578994,2.50203923329463
0.105,0.0341080643911941,2.50203923329466
0.106,0.0366101036244887,2.50203923329463
0.107,0.0391121428577833,2.50203923329463
0.108,0.041614182091078,2.50203923329462
0.109,0.0441162213243725,2.50203923329459
0.11,0.0466182605576672,2.50203923329463
0.111,0.0491202997909618,2.50203923329462
0.112,0.0490185235886625,-0.101776202299342
0.113,0.0481728001190505,-0.845723469611952
0.114,0.0473270766494386,-0.845723469611952
0.115,0.0464813531798266,-0.845723469611952
