taxis,Iarray,Varray
0,-0.0679805058395969,0
0.001,-0.0716502298795443,-3.66972403994734
0.002,-0.0753199539194916,-3.66972403994734
0.003,-0.078989677959439,-3.66972403994734
0.004,-0.0826594019993863,-3.66972403994735
0.005,-0.0863291260393336,-3.66972403994734
0.006,-0.0787709141955732,7.55821184376047
0.007,-0.0632377198549744,15.5331943405988
0.008,-0.0477045255143756,15.5331943405988
0.009,-0.0321713311737768,15.5331943405988
0.01,-0.0166381368331781,15.5331943405988
0.011,-0.00110494249257928,15.5331943405988
0.012,0.0144282518480195,15.5331943405988
0.013,0.0299614461886183,15.5331943405988
0.014,0.045494640529217,15.5331943405988
0.015,0.0610278348698158,15.5331943405988
0.016,0.0704242483266313,9.39641345681547
0.017,0.0556052561339289,-14.8189921927024
0.018,0.0407862639412266,-14.8189921927024
0.019,0.0259672717485242,-14.8189921927024
0.02,0.0111482795558218,-14.8189921927024
0.021,-0.00367071263688055,-14.8189921927023
0.022,-0.0184897048295829,-14.8189921927024
0.023,-0.0333086970222853,-14.8189921927024
0.024,-0.0481276892149877,-14.8189921927024
0.025,-0.0629466814076901,-14.8189921927023
0.026,-0.0777656736003925,-14.8189921927024
0.027,-0.0792131487568304,-1.44747515643799
0.028,-0.0777188901652912,1.49425859153929
0.029,-0.0762246315737519,1.4942585915392
0.03,-0.0747303729822127,1.49425859153929
0.031,-0.0732361143906734,1.49425859153927
0.032,-0.0717418557991341,1.49425859153929
0.033,-0.0702475972075948,1.49425859153929
0.034,-0.0687533386160555,1.49425859153929
0.035,-0.0672590800245162,1.49425859153927
0.036,-0.065764821432977,1.49425859153929
0.037,-0.0624144924613859,3.35032897159106
0.038,-0.0566744728754777,5.74001958590823
0.039,-0.0509344532895694,5.74001958590823
0.04,-0.0451944337036612,5.74001958590824
0.041,-0.039454414117753,5.74001958590823
0.042,-0.0337143945318447,5.74001958590823
0.043,-0.0279743749459365,5.74001958590823
0.044,-0.0222343553600283,5.74001958590827
0.045,-0.01649433577412,5.74001958590823
0.046,-0.0107543161882118,5.74001958590823
0.047,-0.00555012839427403,5.20418779393774
0.048,-0.00961583060142453,-4.0657022071505
0.049,-0.013681532808575,-4.0657022071505
0.05,-0.0177472350157255,-4.0657022071505
0.051,-0.021812937222876,-4.0657022071505
0.052,-0.0258786394300265,-4.0657022071505
0.053,-0.029944341637177,-4.06570220715052
0.054,-0.0340100438443275,-4.0657022071505
0.055,-0.038075746051478,-4.0657022071505
0.056,-0.0421414482586285,-4.0657022071505
0.057,-0.046207150465779,-4.06570220715049
0.058,-0.0464741705923169,-0.267020126537828
0.059,-0.044888175069775,1.58599552254186
0.06,-0.0433021795472331,1.58599552254189
0.061,-0.0417161840246913,1.58599552254186
0.062,-0.0401301885021494,1.58599552254187
0.063,-0.0385441929796075,1.58599552254187
0.064,-0.0369581974570656,1.58599552254186
0.065,-0.0353722019345238,1.58599552254187
0.066,-0.0337862064119819,1.58599552254187
0.067,-0.03220021088944,1.58599552254186
0.068,-0.0318085011460074,0.391709743432597
0.069,-0.0343461716154841,-2.53767046947661
0.07,-0.0368838420849607,-2.53767046947661
0.071,-0.0394215125544373,-2.53767046947661
0.072,-0.0419591830239139,-2.53767046947661
0.073,-0.0444968534933905,-2.53767046947665
0.074,-0.0470345239628671,-2.53767046947661
0.075,-0.0495721944323437,-2.53767046947661
0.076,-0.0521098649018204,-2.53767046947661
0.077,-0.054647535371297,-2.53767046947661
0.078,-0.0571852058407736,-2.53767046947661
0.079,-0.0542541041732673,2.93110166750624
0.08,-0.0507629475278779,3.49115664538943
0.081,-0.0472717908824885,3.49115664538944
